=== building once ===
    Finished `release` profile [optimized] target(s) in 0.10s

=== raw points: MEASURED <policy> <n> <allocated_bytes> ===
MEASURED lru 1048576 75484824
MEASURED lru 2097152 150983064
MEASURED lru 4194304 301979544
MEASURED lru 8388608 603969304
MEASURED lru-compact 1048576 59227136
MEASURED lru-compact 2097152 117945592
MEASURED lru-compact 4194304 235366232
MEASURED lru-compact 8388608 470232184
MEASURED lfu 1048576 134205448
MEASURED lfu 2097152 268423944
MEASURED lfu 4194304 536860936
MEASURED lfu 8388608 1073731720
MEASURED lfu-compact 1048576 59238336
MEASURED lfu-compact 2097152 117956792
MEASURED lfu-compact 4194304 235377432
MEASURED lfu-compact 8388608 470234984
MEASURED fifo 1048576 75484824
MEASURED fifo 2097152 150983064
MEASURED fifo 4194304 301979544
MEASURED fifo 8388608 603969304
MEASURED fifo-compact 1048576 59227136
MEASURED fifo-compact 2097152 117945592
MEASURED fifo-compact 4194304 235366232
MEASURED fifo-compact 8388608 470232184
MEASURED clock 1048576 75484824
MEASURED clock 2097152 150983064
MEASURED clock 4194304 301979544
MEASURED clock 8388608 603969304
MEASURED clock-compact 1048576 59227136
MEASURED clock-compact 2097152 117945592
MEASURED clock-compact 4194304 235366232
MEASURED clock-compact 8388608 470232184
MEASURED sieve 1048576 75484840
MEASURED sieve 2097152 150983080
MEASURED sieve 4194304 301979560
MEASURED sieve 8388608 603969320
MEASURED sieve-compact 1048576 59227136
MEASURED sieve-compact 2097152 117945592
MEASURED sieve-compact 4194304 235366232
MEASURED sieve-compact 8388608 470232184
MEASURED mru 1048576 75484840
MEASURED mru 2097152 150983080
MEASURED mru 4194304 301979560
MEASURED mru 8388608 603969320
MEASURED mru-compact 1048576 59227136
MEASURED mru-compact 2097152 117945592
MEASURED mru-compact 4194304 235366232
MEASURED mru-compact 8388608 470232184
MEASURED 2q-0.25-0.5 1048576 75479344
MEASURED 2q-0.25-0.5 2097152 150977584
MEASURED 2q-0.25-0.5 4194304 301974064
MEASURED 2q-0.25-0.5 8388608 603963824
MEASURED 2q-compact-0.25-0.5 1048576 76101504
MEASURED 2q-compact-0.25-0.5 2097152 151595976
MEASURED 2q-compact-0.25-0.5 4194304 302578248
MEASURED 2q-compact-0.25-0.5 8388608 604565064
MEASURED s3-fifo-0.1 1048576 75479312
MEASURED s3-fifo-0.1 2097152 150977552
MEASURED s3-fifo-0.1 4194304 301974032
MEASURED s3-fifo-0.1 8388608 603963792
MEASURED s3-fifo-compact-0.1 1048576 76113792
MEASURED s3-fifo-compact-0.1 2097152 151608264
MEASURED s3-fifo-compact-0.1 4194304 302590536
MEASURED s3-fifo-compact-0.1 8388608 604577352
MEASURED arc 1048576 75485032
MEASURED arc 2097152 150983272
MEASURED arc 4194304 301979752
MEASURED arc 8388608 603969512
SWEEP_DONE
