policy,cluster,design,get_mean,get_p50,get_p99,set_mean,set_p50,objects,miss_exact,get_count,set_count,wall_s,promotions,demotions,fast_obj,slow_obj
2q-0.25-0.5,13,flat,888,245,8763,2836,708,1899593,0.4797169582020785,78601798,72473274,488.874,-1,-1,-1,-1
2q-compact-0.25-0.5,13,flat,867,247,8567,2781,684,1907635,0.4797169383444014,78601801,72473271,475.942,-1,-1,-1,-1
arc,13,flat,819,253,7715,3009,782,2031198,0.4976689205218449,75889704,75185368,504.219,-1,-1,-1,-1
clock,13,flat,902,270,8703,3022,739,1906484,0.4797175804092948,78601704,72473368,506.742,-1,-1,-1,-1
clock-compact,13,flat,885,263,8609,2928,712,1915696,0.4797175804092948,78601704,72473368,497.139,-1,-1,-1,-1
fifo,13,flat,889,267,8662,2862,702,1902130,0.4797174943593606,78601717,72473355,494.487,-1,-1,-1,-1
fifo-compact,13,flat,876,262,8503,2823,693,1911286,0.47971748112090923,78601719,72473353,482.802,-1,-1,-1,-1
lfu,13,flat,652,230,6431,2845,780,4250935,0.5524145968965681,67618997,83456075,504.25,-1,-1,-1,-1
lfu-compact,13,flat,640,230,6405,2810,784,4318788,0.5589739318476049,66628045,84447027,499.102,-1,-1,-1,-1
lru,13,flat,886,263,8653,2934,774,1901970,0.4797169979174327,78601792,72473280,501.539,-1,-1,-1,-1
lru-compact,13,flat,879,254,8585,2891,733,1911194,0.47971699129820705,78601793,72473279,491.464,-1,-1,-1,-1
mru,13,flat,624,230,6268,2550,701,1602861,0.5595753017413753,66537193,84537879,465.537,-1,-1,-1,-1
mru-compact,13,flat,603,219,6159,2486,680,1604479,0.5624846897309438,66097657,84977415,456.65,-1,-1,-1,-1
s3-fifo-0.1,13,flat,924,266,8755,3134,904,2293675,0.47973486982683683,78599092,72475980,512.99,-1,-1,-1,-1
s3-fifo-compact-0.1,13,flat,909,265,8554,3099,916,2301607,0.47973391665833526,78599236,72475836,506.701,-1,-1,-1,-1
sieve,13,flat,910,252,8745,3247,866,2004312,0.4797448516192003,78597584,72477488,532.635,-1,-1,-1,-1
sieve-compact,13,flat,921,257,8878,3202,860,1969256,0.4797466586678178,78597311,72477761,517.492,-1,-1,-1,-1
2q-compact-hybrid-0.1,13,hybrid,964,236,11001,3267,817,2443963,0.5413209665721689,69294968,81780104,607.977,28188495,27544804,643691,1800272
2q-fast-admission-compact-hybrid-0.1,13,hybrid,844,248,8907,3163,783,2433270,0.5426919935540392,69087840,81987232,569.478,91,27800608,419509,2013761
2q-fast-admission-hybrid-0.1,13,hybrid,836,237,8894,3080,754,2389672,0.537443589634695,69880743,81194329,558.028,93,28182170,395500,1994172
2q-fast-admission-reprieve-compact-hybrid-0.1,13,hybrid,1155,272,12743,3878,872,2031448,0.47972296845901885,78600890,72474182,649.034,180,64366911,548206,1483242
2q-fast-admission-reprieve-hybrid-0.1,13,hybrid,1138,267,12656,3742,826,2015473,0.4797230809858558,78600873,72474199,639.725,185,66177606,542360,1473113
2q-full-fast-admission-compact-hybrid-0.25-0.5,13,hybrid,1058,277,11570,3246,767,1440386,0.47971760688619763,78601700,72473372,561.067,932,72038993,435311,1005075
2q-full-fast-admission-hybrid-0.25-0.5,13,hybrid,1044,279,11461,3186,741,1440386,0.47971760688619763,78601700,72473372,554.818,932,72038993,435311,1005075
2q-ghost-compact-hybrid-0.1,13,hybrid,1094,248,13470,3592,831,2104992,0.5309131343654101,70867332,80207740,660.643,35271482,34691450,580032,1524960
2q-ghost-hybrid-0.1,13,hybrid,1115,269,13586,3552,807,2092080,0.5247411895987711,71799759,79275313,659.825,34848209,34288292,559917,1532163
2q-hybrid-0.1,13,hybrid,986,236,11445,3266,803,2386491,0.5329894795615255,70553648,80521424,602.186,28711346,28103557,607789,1778702
fifo-compact-hybrid,13,hybrid,1418,272,19574,4143,787,1955496,0.47971741492865216,78601729,72473343,764.339,0,71920294,553049,1402447
fifo-hybrid,13,hybrid,1430,282,19651,4140,778,1940200,0.47971742816710355,78601727,72473345,761.426,0,71929371,543974,1396226
