trace,design,policy,rc,seconds,objects,miss,get_mean_ns,set_mean_ns
standard_web,flat,lru,0,133,828644,0.0856,4438,11943
standard_web,flat,lfu,0,133,826294,0.0850,4532,12106
standard_web,flat,fifo,0,133,828812,0.0963,4442,11457
standard_web,flat,clock,0,131,828707,0.0850,4411,11711
standard_web,flat,sieve,0,133,828857,0.0848,4503,12029
standard_web,flat,mru,0,134,828563,0.1903,4321,9064
standard_web,flat,arc,0,132,828776,0.0848,4467,12011
standard_web,flat,2q-0.25-0.5,0,134,828590,0.0855,4550,12131
standard_web,flat,s3-fifo-0.1,0,132,828636,0.0860,4378,12081
standard_web,flat,lru-compact,0,135,829384,0.0855,4506,12401
standard_web,flat,lfu-compact,0,130,829564,0.0848,4393,11998
standard_web,flat,fifo-compact,0,134,829497,0.0962,4530,11509
standard_web,flat,clock-compact,0,133,829414,0.0849,4504,11897
standard_web,flat,sieve-compact,0,134,829564,0.0848,4529,12167
standard_web,flat,mru-compact,0,135,829562,0.1907,4368,9109
standard_web,flat,2q-compact-0.25-0.5,0,131,828590,0.0855,4413,11828
standard_web,flat,s3-fifo-compact-0.1,0,133,828636,0.0860,4488,12091
standard_web,tier,lru-hybrid,0,163,833596,0.0853,6076,10277
standard_web,tier,lfu-hybrid,0,144,832370,0.0846,5068,12965
standard_web,tier,fifo-hybrid,0,173,833650,0.0959,7152,10737
standard_web,tier,lru-sized-hybrid,0,165,908825,0.0831,6249,10146
standard_web,tier,lru-lfu-hybrid-2,0,162,833657,0.0850,6012,10162
standard_web,tier,2q-hybrid-0.1,0,132,394026,0.1552,4499,8159
standard_web,tier,2q-fast-admission-hybrid-0.1,0,132,394035,0.1552,4529,7977
standard_web,tier,2q-fast-admission-reprieve-hybrid-0.1,0,155,833394,0.0847,5777,9923
standard_web,tier,2q-full-fast-admission-hybrid-0.25-0.5,0,167,833428,0.0852,6409,10018
standard_web,tier,2q-ghost-hybrid-0.1,0,145,801228,0.1141,5209,8728
standard_web,tier,s3-fifo-hybrid-0.1,0,133,394038,0.1552,4707,8092
standard_web,tier,s3-fifo-ghost-hybrid-0.1,0,174,801115,0.1141,7277,8458
standard_web,tier,s3-fifo-ghost-lazy-demotion-hybrid-0.1,0,144,801090,0.1141,5077,8717
standard_web,tier,s3-fifo-ghost-lazy-demotion-fast-admission-hybrid-0.1,0,142,797594,0.1144,5090,8969
standard_web,tier,s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-hybrid-0.1,0,142,797766,0.1144,5110,8992
standard_web,tier,s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-hybrid-0.1,0,151,833431,0.0848,5736,9734
standard_web,tier,s3-fifo-lazy-demotion-fast-admission-reprieve-hybrid-0.1,0,148,833427,0.0848,5591,9540
standard_web,tier,s3-fifo-lazy-demotion-reprieve-hybrid-0.1,0,153,833531,0.0847,5538,13815
standard_web,tier,s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-hybrid-0.1,0,151,833500,0.0850,5640,9779
standard_web,tier,lru-compact-hybrid,0,164,835676,0.0852,6142,10473
standard_web,tier,lfu-compact-hybrid,0,147,835396,0.0845,5199,13191
standard_web,tier,fifo-compact-hybrid,0,172,835749,0.0957,7138,10532
standard_web,tier,lru-sized-compact-hybrid,0,168,910418,0.0830,6364,10160
standard_web,tier,lru-lfu-compact-hybrid-2,0,165,835764,0.0849,6156,10490
standard_web,tier,2q-compact-hybrid-0.1,0,132,394036,0.1552,4586,8199
standard_web,tier,2q-fast-admission-compact-hybrid-0.1,0,134,394032,0.1552,4626,8087
standard_web,tier,2q-fast-admission-reprieve-compact-hybrid-0.1,0,157,835525,0.0846,5872,10157
standard_web,tier,2q-full-fast-admission-compact-hybrid-0.25-0.5,0,166,835600,0.0851,6389,10192
standard_web,tier,2q-ghost-compact-hybrid-0.1,0,147,801085,0.1141,5303,8825
standard_web,tier,s3-fifo-compact-hybrid-0.1,0,135,394029,0.1552,4772,8147
standard_web,tier,s3-fifo-ghost-compact-hybrid-0.1,0,166,801055,0.1141,6924,8372
standard_web,tier,s3-fifo-ghost-lazy-demotion-compact-hybrid-0.1,0,140,801006,0.1141,4985,8552
standard_web,tier,s3-fifo-ghost-lazy-demotion-fast-admission-compact-hybrid-0.1,0,143,798190,0.1144,5130,8957
standard_web,tier,s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-compact-hybrid-0.1,0,143,798167,0.1144,5155,9043
standard_web,tier,s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-compact-hybrid-0.1,0,159,835585,0.0847,5769,9783
standard_web,tier,s3-fifo-lazy-demotion-fast-admission-reprieve-compact-hybrid-0.1,0,159,835637,0.0847,5792,9846
standard_web,tier,s3-fifo-lazy-demotion-reprieve-compact-hybrid-0.1,0,162,835672,0.0846,5716,14108
standard_web,tier,s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-compact-hybrid-0.1,0,154,835651,0.0848,5747,10050
low_alpha_cold,flat,lru,0,80,828164,0.2152,5502,11802
low_alpha_cold,flat,lfu,0,78,825840,0.2136,5449,11189
low_alpha_cold,flat,fifo,0,79,828521,0.2355,5507,11031
low_alpha_cold,flat,clock,0,79,828204,0.2141,5434,11278
low_alpha_cold,flat,sieve,0,78,828408,0.2130,5474,11329
low_alpha_cold,flat,mru,0,79,828617,0.2791,5324,10514
low_alpha_cold,flat,arc,0,78,828299,0.2128,5416,11253
low_alpha_cold,flat,2q-0.25-0.5,0,78,828261,0.2147,5470,11239
low_alpha_cold,flat,s3-fifo-0.1,0,79,828158,0.2151,5478,11382
low_alpha_cold,flat,lru-compact,0,79,828871,0.2150,5437,11580
low_alpha_cold,flat,lfu-compact,0,79,829158,0.2128,5474,11296
low_alpha_cold,flat,fifo-compact,0,78,829302,0.2353,5395,10811
low_alpha_cold,flat,clock-compact,0,79,828935,0.2140,5476,11392
